operating_cash_flow,investing_cash_flow,fixed_asset_expenditure,financing_cash_flow,cash_and_equivalents_beginning,fx_rate_effect_on_cash,cash_and_equivalents_changes,cash_and_equivalents_ending,ticker_code,year
9658627,,-20620020.0,-6655698.0,100319853,674677.0,,83377439,BBCA,2017
-75862859744,,-2401771553.0,49675725000.0,363412208391,,,334823302094,BBHI,2017
-1582364,,1360280.0,-770190.0,16203022,2786.0,,15213534,BBKP,2017
-626681,36509.0,-35461.0,684229.0,98232,62.0,,120381,BBLD,2017
263798853344,,-30015666181.0,-60001620300.0,871838867065,-1028162726.0,0.0,1044592271202,BBMD,2017
33625853,,-23274271.0,3245370.0,78284151,96175.0,,91977278,BBNI,2017
39299109,,-30995996.0,-10847132.0,188954879,-427.0,,186410433,BBRI,2017
5539910,1063481.0,-333581.0,-5570585.0,2494035,3232.0,,2133011,BBRM,2017
321044,,832608.0,8075789.0,29608198,,,38837639,BBTN,2017
296269640515,,-9625281072.0,10617746162.0,374667199517,,,671929305122,BBYB,2017
-1739521,61011.0,238218.0,36496.0,3245481,,,1780674,BCAP,2017
-135070,,62758.0,0.0,1892379,27078.0,,1847145,BCIC,2017
3748625,,-3189178.0,23079.0,15153530,98186.0,,15834242,BDMN,2017
478343,,-26211.0,,765474,,,1217606,BEKS,2017
17805531871,38336540550.0,-40224800050.0,53954707252.0,13084043846,,,44619482919,BELL,2017
702187271150,41509174054.0,-410590679787.0,-231902979719.0,442482672616,,,502176284260,BEST,2017
-2361076,204387.0,-183381.0,2604272.0,165388,,,225203,BFIN,2017
91417,,90564.0,,769243,,,951224,BGTG,2017
517819,2816393.0,-2013820.0,587704.0,3608806,,,2700509,BHIT,2017
-140994069753,3202773969.0,-1305875359.0,160629305024.0,146445388165,,,164774748077,BIKA,2017
9669781404,724895830.0,-217053539.0,-9296732164.0,17601506142,,,17757501843,BIMA,2017
-209484,,-240278.0,695370.0,331894,,,577502,BINA,2017
-72836265,95918.0,3172549.0,79684367.0,977911,,-252071.0,10746491,BIPI,2017
6003706227,919168446.0,-66639231590.0,95705534958.0,20553531102,,240000000.0,55863540697,BIPP,2017
1034051,298505.0,81632.0,-1233280.0,591886,,,474289,BIRD,2017
590514,220689.0,-220686.0,-214002.0,379593,198.0,,535617,BISI,2017
682196,,1232273.0,4068669.0,20692875,-1638.0,,26674375,BJBR,2017
6663420,,-1490006.0,-315919.0,9446524,,,14304019,BJTM,2017
34028240719,7632781682.0,-14930792639.0,-18685154529.0,5921911791,,,6334205342,BKDP,2017
-451061312047,10573415689.0,-110374640551.0,842486619259.0,306610256213,,,587660922874,BKSL,2017
-230590,,-242426.0,986414.0,3997265,11615.0,,4522278,BKSW,2017
3370590,0.0,1015404.0,-5595045.0,5787637,0.0,0.0,4578586,BLTA,2017
144625707,452846408.0,-463704451.0,355077014.0,260825389,,,296823659,BLTZ,2017
233597722,,-449306455.0,0.0,761908946,370379.0,,546570592,BMAS,2017
5192544,,-5247860.0,462302.0,157560107,808703.0,,158775796,BMRI,2017
21767860847,575576725.0,-42477353.0,-12126489859.0,37608649528,306854626.0,,47514397789,BMSR,2017
4372376,2753234.0,-4487304.0,66177.0,816140,,,767389,BMTR,2017
-116867307919,,269722693379.0,-19750500000.0,1169873185036,623795824.0,,1303601866320,BNBA,2017
123043,78601.0,-75754.0,-72301.0,145763,3597.0,,124348,BNBR,2017
20129300,,-8946122.0,-87819.0,23416115,154962.0,,34666436,BNGA,2017
-3996679,,-1314990.0,1811832.0,19473228,27152.0,,16000543,BNII,2017
-13394147,,4931597.0,867649.0,24155902,36183.0,,16597184,BNLI,2017
